MIF,MIF
OR4F3,UBTFL1
OR5AS1,UBTFL1
BEND3,UBTFL1
ZCCHC9,UBTFL1
LBX1,UBTFL1
ZNF558,UBTFL1
LHX9,UBTFL1
ZBTB7B,UBTFL1
CDR2,UBTFL1
FSD2,UBTFL1
PUF60,UBTFL1
LHX2,UBTFL1
RUNDC3A,UBTFL1
NOTO,UBTFL1
LDOC1,UBTFL1
NACC1,UBTFL1
GOLGA6L9,UBTFL1
CCDC136,UBTFL1
STX1A,UBTFL1
LHX3,UBTFL1
TAX1BP1,UBTFL1
RABEP1,UBTFL1
DDIT4L,UBTFL1
MTUS2,UBTFL1
GOLGA2,UBTFL1
PBX4,UBTFL1
TFIP11,UBTFL1
C17orf49,C17orf49
MAGEA3,C17orf49
OR52E6,GOLGA8K
NKAPD1,GOLGA8K
MOG,STRIT1
PI16,STRIT1
BTN2A1,STRIT1
SLC34A2,STRIT1
CD69,STRIT1
SLC14A1,STRIT1
EDA2R,STRIT1
ISLR2,STRIT1
F11R,STRIT1
TSPAN15,STRIT1
IFNGR2,STRIT1
TMEM101,STRIT1
SPNS3,STRIT1
SLC38A1,STRIT1
JPH1,STRIT1
GPR61,STRIT1
KCNJ6,STRIT1
MSMO1,STRIT1
BSCL2,STRIT1
PDZK1IP1,STRIT1
STX2,STRIT1
ANK1,STRIT1
ANKS6,STRIT1
TMEM237,STRIT1
HSD17B11,STRIT1
AQP12B,STRIT1
FFAR2,STRIT1
TMEM51,STRIT1
GPR42,STRIT1
CD53,STRIT1
STX1A,STRIT1
FXYD3,STRIT1
TM4SF18,STRIT1
CMTM2,STRIT1
BIK,STRIT1
SLC35C2,STRIT1
HSD17B13,STRIT1
SCN3B,STRIT1
AQP6,STRIT1
KCNK5,STRIT1
GOLM1,STRIT1
MTIF3,STRIT1
MFF,STRIT1
CD79A,STRIT1
ARL13B,STRIT1
MAFB,KRTAP4-2
CCER1,KRTAP4-2
CELF5,KRTAP4-2
KRTAP4-4,KRTAP4-2
CYP21A2,KRTAP4-2
KRTAP5-6,KRTAP4-2
LCE3D,KRTAP4-2
NR4A3,KRTAP4-2
YY1,KRTAP4-2
HOXB9,KRTAP4-2
LCE3A,KRTAP4-2
KRTAP10-5,KRTAP4-2
PHLDA1,KRTAP4-2
PLSCR4,KRTAP4-2
LCE2A,KRTAP4-2
KRTAP4-2,KRTAP4-2
KRTAP5-7,KRTAP4-2
LCE3B,KRTAP4-2
LCE2C,KRTAP4-2
LCE5A,KRTAP4-2
ITGB4,KRTAP4-2
AQP1,KRTAP4-2
CHRD,KRTAP4-2
AVPI1,KRTAP4-2
KRTAP4-5,KRTAP4-2
RGS20,KRTAP4-2
LCE3C,KRTAP4-2
KRTAP1-5,KRTAP4-2
LCE2D,KRTAP4-2
LCE3E,KRTAP4-2
LCE1D,KRTAP4-2
CRCT1,KRTAP4-2
VASN,KRTAP4-2
SMCP,KRTAP4-2
LCE2B,KRTAP4-2
POU4F2,KRTAP4-2
KRTAP10-6,KRTAP4-2
KRTAP12-2,KRTAP4-2
CREB5,KRTAP4-2
KRTAP9-2,KRTAP4-2
KPRP,KRTAP4-2
KRTAP11-1,KRTAP4-2
CRY2,KRTAP4-2
LCE1C,KRTAP4-2
NR1D2,KRTAP4-2
ADAMTSL4,KRTAP4-2
KRTAP9-3,KRTAP4-2
KRTAP9-8,KRTAP4-2
KRTAP1-3,KRTAP4-2
KRTAP12-3,KRTAP4-2
KRTAP3-3,KRTAP4-2
VGLL3,KRTAP4-2
KRTAP26-1,KRTAP4-2
CYSRT1,KRTAP4-2
KRTAP10-8,KRTAP4-2
CATSPER1,KRTAP4-2
OXER1,KRTAP4-2
BAG4,KRTAP4-2
ANKS1A,KRTAP4-2
LNX1,KRTAP4-2
KRTAP10-1,KRTAP4-2
KRTAP5-2,KRTAP4-2
LCE1B,KRTAP4-2
KRTAP5-3,KRTAP4-2
LCE4A,KRTAP4-2
LCE1A,KRTAP4-2
LCE1E,KRTAP4-2
GUCD1,KRTAP4-2
NUFIP2,KRTAP4-2
HOXA1,KRTAP4-2
MEOX2,KRTAP4-2
H2AC18,H2BC15
RPL22,H2BC15
MACROH2A1,H2BC15
H1-7,H2BC15
FAM133A,H2BC15
MACROH2A2,H2BC15
PRR13,H2BC15
SREK1IP1,H2BC15
FAM9A,H2BC15
NKAPD1,H2BC15
TSPYL2,H2BC15
FAM229B,TSSK1B
TSKS,TSSK1B
FOXN1,TSSK1B
EFS,TSSK1B
MEOX2,TSSK1B
FAM229B,TSSK2
TSKS,TSSK2
TSEN15,TSSK2
LZTS2,TSSK2
PNP,PNP
KCNRG,RFPL4A
KCNRG,KCNRG
ZNF667,KRTAP10-7
ZNF260,KRTAP10-7
MOBP,KRTAP10-7
ZSCAN10,KRTAP10-7
PRM2,KRTAP10-7
ZFP41,KRTAP10-7
CLK4,KRTAP10-7
ZNF578,KRTAP10-7
ZNF786,KRTAP10-7
ZNF101,KRTAP10-7
ZNF491,KRTAP10-7
NKD1,KRTAP10-7
ZSCAN26,KRTAP10-7
RSPO2,KRTAP10-7
NAXD,KRTAP10-7
SPATA24,KRTAP10-7
ZBTB9,KRTAP10-7
NPDC1,KRTAP10-7
MRGBP,KRTAP10-7
ZBTB48,KRTAP10-7
BUD31,KRTAP10-7
ZNF524,KRTAP10-7
DHX57,KRTAP10-7
R3HDM2,KRTAP10-7
IGSF8,KRTAP10-7
DOCK2,KRTAP10-7
KRTAP5-6,KRTAP10-7
LCE3D,KRTAP10-7
ZNF580,KRTAP10-7
ZNF264,KRTAP10-7
ZSCAN21,KRTAP10-7
LCE3A,KRTAP10-7
KRTAP5-11,KRTAP10-7
PHLDA1,KRTAP10-7
MAPKBP1,KRTAP10-7
ZNF420,KRTAP10-7
LCE3B,KRTAP10-7
LCE2C,KRTAP10-7
LCE5A,KRTAP10-7
ZNF696,KRTAP10-7
ZNF444,KRTAP10-7
ITGB4,KRTAP10-7
GSTP1,KRTAP10-7
ITGB5,KRTAP10-7
ZFYVE26,KRTAP10-7
ZNF844,KRTAP10-7
ZNF440,KRTAP10-7
SHFL,KRTAP10-7
TTPA,KRTAP10-7
CHRD,KRTAP10-7
ZNF414,KRTAP10-7
ZNF138,KRTAP10-7
HCK,KRTAP10-7
FADS6,KRTAP10-7
ZIM2,KRTAP10-7
KRTAP4-5,KRTAP10-7
LCE3C,KRTAP10-7
KRTAP12-1,KRTAP10-7
LCE3E,KRTAP10-7
LCE1D,KRTAP10-7
CRCT1,KRTAP10-7
VASN,KRTAP10-7
SMCP,KRTAP10-7
GNE,KRTAP10-7
LCE2B,KRTAP10-7
PTPMT1,KRTAP10-7
ZNF564,KRTAP10-7
PRKAB2,KRTAP10-7
ZNF587,KRTAP10-7
ZNF490,KRTAP10-7
WT1,KRTAP10-7
ZNF575,KRTAP10-7
ZNF408,KRTAP10-7
ZNF581,KRTAP10-7
ZNF764,KRTAP10-7
GEM,KRTAP10-7
ZNF837,KRTAP10-7
FARS2,KRTAP10-7
SUV39H1,KRTAP10-7
KLHL38,KRTAP10-7
PDE9A,KRTAP10-7
CLK1,KRTAP10-7
KRTAP10-9,KRTAP10-7
MYPOP,KRTAP10-7
CNNM3,KRTAP10-7
KRTAP9-2,KRTAP10-7
SPRY1,KRTAP10-7
TFAP2D,KRTAP10-7
CRY2,KRTAP10-7
LCE1F,KRTAP10-7
ZNF774,KRTAP10-7
ZNF417,KRTAP10-7
KRTAP9-3,KRTAP10-7
KRTAP9-8,KRTAP10-7
AP1M1,KRTAP10-7
KRTAP12-3,KRTAP10-7
MCRS1,KRTAP10-7
TLE5,KRTAP10-7
VGLL3,KRTAP10-7
KRTAP26-1,KRTAP10-7
CYSRT1,KRTAP10-7
KRTAP10-8,KRTAP10-7
PRR35,KRTAP10-7
OTX1,KRTAP10-7
KRTAP5-2,KRTAP10-7
LCE1B,KRTAP10-7
LCE4A,KRTAP10-7
LCE1A,KRTAP10-7
PIN1,KRTAP10-7
NUFIP2,KRTAP10-7
HOXA1,KRTAP10-7
GABARAPL2,KRTAP10-7
RPL12,OR10G4
B4GALT1,OR10G4
ZNF100,KRTAP12-2
GREM1,KRTAP12-2
DHRS1,KRTAP12-2
SPATA3,KRTAP12-2
CBX2,KRTAP12-2
YIPF3,KRTAP12-2
SLC15A3,KRTAP12-2
SLC12A4,KRTAP12-2
ZBTB9,KRTAP12-2
NPDC1,KRTAP12-2
HSFX1,KRTAP12-2
RBX1,KRTAP12-2
ZNF624,KRTAP12-2
NECTIN2,KRTAP12-2
YY1,KRTAP12-2
ZNF785,KRTAP12-2
FOXD4L3,KRTAP12-2
HOXB9,KRTAP12-2
BCL6B,KRTAP12-2
ETNK2,KRTAP12-2
SERF2,KRTAP12-2
CFP,KRTAP12-2
PHLDA1,KRTAP12-2
SLC13A5,KRTAP12-2
KRTAP21-2,KRTAP12-2
SPRED2,KRTAP12-2
PCSK5,KRTAP12-2
LCE2A,KRTAP12-2
EFEMP2,KRTAP12-2
RAD23A,KRTAP12-2
PACSIN3,KRTAP12-2
GPRIN2,KRTAP12-2
SLC15A2,KRTAP12-2
ZNF696,KRTAP12-2
FOXD4L1,KRTAP12-2
PLAC8,KRTAP12-2
TTPA,KRTAP12-2
CHRD,KRTAP12-2
CBLL2,KRTAP12-2
ZNHIT1,KRTAP12-2
PELO,KRTAP12-2
ZDHHC1,KRTAP12-2
ATN1,KRTAP12-2
KRTAP12-1,KRTAP12-2
VASN,KRTAP12-2
LCE2B,KRTAP12-2
POU4F2,KRTAP12-2
ZNF587,KRTAP12-2
ZNF408,KRTAP12-2
ZNF497,KRTAP12-2
TCEA2,KRTAP12-2
ZNF581,KRTAP12-2
ZNF764,KRTAP12-2
IQUB,KRTAP12-2
CCNL1,KRTAP12-2
BEX2,KRTAP12-2
GDF15,KRTAP12-2
PDE9A,KRTAP12-2
SEMA3B,KRTAP12-2
VENTX,KRTAP12-2
DGCR6,KRTAP12-2
MYOZ1,KRTAP12-2
MYPOP,KRTAP12-2
TSGA10IP,KRTAP12-2
FOXD4,KRTAP12-2
CNNM3,KRTAP12-2
