Protein	Degree
A1CF	1
AACS	0
AAGAB	0
AAMDC	0
AAMP	0
AANAT	1
AASDHPPT	0
AATF	5
ABCF3	0
ABHD1	0
ABHD16A	0
ABHD17A	1
ABI2	4
ABI3	0
ABLIM1	0
ABLIM3	0
ABO	0
ABT1	1
ABTB1	0
ACAT2	0
ACCS	0
ACD	2
ACMSD	0
ACOT7	0
ACOT8	0
ACSF2	0
ACSS1	0
ACTB	7
ACTG1	4
ACTL8	0
ACTN1	15
ACTN2	16
ACTN3	1
ACTN4	9
ACTR10	0
ACY1	0
ACY3	0
ACYP2	0
ADAM15	8
ADAM33	0
ADAMTS12	0
ADAMTSL3	0
ADAMTSL4	2
ADAMTSL5	0
ADAP1	1
ADAT2	0
ADCK3	0
ADCK5	0
ADCY4	0
ADD1	1
ADIPOQ	0
ADPRH	0
ADRM1	4
AEBP2	0
AEN	0
AES	8
AFAP1L1	0
AFF4	1
AFG3L1P	0
AGFG1	2
AGGF1	1
AGPAT1	0
AGPAT4	0
AGPAT5	0
AGPS	0
AGR2	0
AGR3	1
AGTR1	2
AGTRAP	1
AHCY	0
AHCYL1	0
AHNAK	2
AHNAK2	0
AHSA2	1
AHSP	1
AIDA	0
AIM2	0
AIMP1	1
AIMP2	9
AK3	0
AK8	0
AKAP17A	1
AKAP7	0
AKAP9	7
AKIRIN1	0
AKR1C1	0
AKR7A2	0
AKR7A3	0
AKT1	30
AKTIP	3
ALAS1	0
ALAS2	0
ALDH18A1	0
ALDH1A1	0
ALDH3B1	0
ALDOA	1
ALDOC	0
ALG13	0
ALKBH3	0
ALKBH4	0
ALOX5	2
ALPI	0
ALPP	0
ALS2CR11	0
ALS2CR12	0
AMBP	2
AMDHD2	0
AMMECR1	0
AMOT	1
AMOTL2	0
AMPD2	0
AMPH	7
ANAPC13	0
ANKRA2	2
ANKRD10	0
ANKRD13A	0
ANKRD26P1	0
ANKRD36B	0
ANKRD36BP1	0
ANKRD40	0
ANKRD44	1
ANKRD45	0
ANKRD54	0
ANLN	0
ANP32B	1
ANXA1	1
ANXA10	0
ANXA11	2
ANXA4	0
AP1G1	7
AP1G2	1
AP1M1	1
AP1M2	0
AP1S2	0
AP1S3	0
AP2B1	8
AP2S1	0
AP3M1	0
AP4B1	2
AP4M1	1
AP5B1	0
APEH	0
APIP	1
APITD1	2
APLF	2
APLN	0
APOA1	5
APOA2	0
APOBEC3C	0
APOD	0
APOL1	0
APOL4	0
APOL6	0
APPBP2	1
APPL1	12
APPL2	1
APTX	3
AQP1	0
AQP5	1
AQP9	0
AQPEP	0
ARAF	11
AREG	1
ARF4	2
ARFGAP1	1
ARFIP2	9
ARHGAP12	0
ARHGAP17	2
ARHGAP21	2
ARHGAP22	1
ARHGAP26	1
ARHGAP32	6
ARHGAP35	1
ARHGAP44	0
ARHGAP9	2
ARHGDIA	6
ARHGDIG	0
ARHGEF1	1
ARHGEF15	0
ARHGEF16	0
ARHGEF2	0
ARHGEF3	0
ARHGEF39	0
ARHGEF40	0
ARHGEF5	1
ARHGEF7	12
ARID3A	2
ARID5A	2
ARIH2	5
ARL14EP	1
ARL16	0
ARL2	3
ARL2BP	1
ARL4A	1
ARL4D	0
ARL6IP1	0
ARL6IP4	1
ARL6IP5	1
ARL8A	0
ARMC1	0
ARMC7	0
ARMC8	2
ARMC9	0
ARMCX1	0
ARMCX5	0
ARNTL	5
ARPC3	4
ARPC4	6
ARPIN	0
ARR3	0
ARRB1	17
ARRB2	13
ARRDC3	3
ARSA	1
ARSI	0
ARSJ	0
ASAP2	5
ASAP3	0
ASB13	0
ASB6	0
ASB7	0
ASB9	3
ASCC1	3
ASCL4	0
ASF1A	8
ASH2L	2
ASL	1
ASMTL	0
ASNA1	0
ASNS	0
ASPA	0
ASPH	0
ASPSCR1	1
ASS1	0
ASTE1	0
ATF2	25
ATF4	25
ATF7	2
ATG12	4
ATG4A	0
ATG5	3
ATG9A	1
ATOX1	2
ATP4B	0
ATP5A1	0
ATP5B	1
ATP5G1	0
ATP5O	0
ATP6V0C	2
ATP6V0E2	0
ATP6V1B2	0
ATP6V1C1	0
ATP6V1C2	0
ATP6V1D	1
ATP6V1E2	0
ATP6V1G1	0
ATPAF2	0
ATRIP	1
ATXN1	44
ATXN7L1	0
AURKAIP1	1
AVPI1	1
AZIN1	0
AZIN2	0
B4GALT7	0
BAAT	0
BABAM1	1
BAD	15
BAG1	10
